,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,LEC,Baku,2024,4.8,102.465,37.4,False,101.36500000000001,2
1,PIA,Baku,2024,10.0,102.465,37.4,False,101.686,2
2,SAI,Baku,2024,9.14,102.465,37.4,False,101.805,2
3,PER,Baku,2024,5.29,102.465,37.4,False,101.813,2
4,RUS,Baku,2024,11.75,102.465,37.4,False,101.874,2
5,VER,Baku,2024,4.43,102.465,37.4,False,102.023,2
6,HAM,Baku,2024,4.14,102.465,37.4,False,102.289,2
7,ALO,Baku,2024,11.33,102.465,37.4,False,102.369,2
8,ALB,Baku,2024,13.33,102.465,37.4,False,102.84,2
9,TSU,Baku,2024,7.67,102.465,37.4,False,103.035,2
10,HUL,Baku,2024,14.8,102.465,37.4,False,103.101,2
11,STR,Baku,2024,13.0,102.465,37.4,False,103.37,2
12,RIC,Baku,2024,8.5,102.465,37.4,False,103.547,2
13,NOR,Baku,2024,8.5,102.465,37.4,False,103.60900000000001,2
14,BOT,Baku,2024,7.43,102.465,37.4,False,103.618,2
15,ZHO,Baku,2024,14.5,102.465,37.4,False,104.24600000000001,2
16,OCO,Baku,2024,11.6,102.465,37.4,False,104.50399999999999,2
17,GAS,Baku,2024,12.8,102.465,37.4,False,103.088,2
